word_count,sentence_count,spelling_errors,long_word,exc_count,que_count,stopwords_count,unigrams_count,bigrams_count,trigrams_count,noun_count,adj_count,adv_count,verb_count,syllable_count,smog_index,coleman_liau_index,dale_chall_readability_score,difficult_words,linsear_write_formula,neg_sentiment,neu_sentiment,pos_sentiment,score1,score2,score
377,32,19,48,2,1,144,166,306,346,70,27,21,75,438,8.8,7.46,6.25,43,3.083333333,5.139,24.584,2.277,4,4,8
414,25,14,102,0,0,164,188,366,400,111,19,17,78,572,12.3,11.36,7.41,71,7,2.639,20.95,1.41,6,4,10
271,5,10,27,1,0,150,122,215,243,51,18,17,50,324,13.3,6,7.09,14,24.75,0.634,4.08,0.287,4,4,8
530,33,22,111,2,0,159,210,432,496,165,39,31,87,692,11.1,12.86,7.31,82,4.222222222,0.673,25.786,6.54,6,5,11
409,9,17,45,0,0,201,152,330,382,94,23,26,74,507,13.7,8.72,7.1,33,24,0.29,7.577,1.133,5,4,9
586,35,31,96,1,7,216,268,512,564,158,33,33,86,685,10.3,9.56,7.37,94,4.875,0.865,29.347,4.789,6,5,11
277,12,12,31,0,0,120,139,251,269,50,22,13,62,325,9.5,6.21,6.11,23,10.6,0.279,9.39,2.331,4,3,7
305,15,14,55,0,1,132,143,256,285,71,19,15,55,386,11.1,8.41,6.21,29,5.928571429,0,12.878,2.122,4,4,8
465,30,31,51,0,1,209,184,400,451,84,27,27,101,524,8.2,5.68,5.79,38,5.25,0.221,26.639,3.14,4,4,8
416,23,28,48,0,0,187,135,283,338,83,23,13,66,487,9.9,6.44,5.45,24,5.928571429,0,18.515,4.485,4,4,8
608,31,10,106,0,0,228,235,477,549,167,30,37,94,751,11.2,8.7,6.36,64,6.833333333,0.347,27.316,3.337,5,5,10
533,30,26,66,0,2,223,211,455,509,117,21,23,107,602,9.6,7.82,6.38,57,4.9375,1.146,25.307,3.546,5,5,10
145,4,3,14,0,0,63,83,131,142,34,14,10,16,171,11.7,9.01,7.08,15,12.125,0,3.427,0.573,2,2,4
197,5,5,28,0,0,97,102,176,191,51,11,10,34,252,14.3,7.79,7.35,22,11.5,0.45,4.061,0.489,3,3,6
350,27,14,61,0,2,145,153,297,328,78,24,21,55,450,10.3,8.97,6.17,39,4.111111111,0.148,22.398,4.454,3,3,6
257,12,24,35,0,0,125,106,198,225,50,16,10,55,311,10.1,7.31,6.42,27,8.7,0,10.725,1.275,3,3,6
272,6,17,34,0,0,118,111,205,225,75,15,6,61,309,10.1,7.79,6.96,20,16.66666667,0.109,5.433,0.458,3,3,6
554,26,51,76,6,1,203,257,485,537,140,35,20,111,641,9.5,8.47,7.14,78,7.083333333,3.334,20.948,1.718,4,5,9
392,25,31,67,0,0,156,176,354,382,90,27,19,68,500,10.7,9.91,6.98,58,5.714285714,2.152,20.72,2.127,5,5,10
295,15,23,64,0,0,114,155,281,290,70,20,13,53,395,12.1,11.13,7.42,48,7.166666667,1.012,13.148,0.84,4,4,8
210,9,6,51,0,0,80,70,137,157,62,19,6,31,304,12.5,13.11,6.84,26,8.9,0,7.314,1.686,3,3,6
499,24,22,97,0,0,205,191,420,475,113,39,26,91,624,11.3,8.7,6.83,64,5.428571429,0.801,20.559,2.64,5,6,11
449,26,22,61,0,2,191,183,383,426,104,26,28,75,558,10.3,8.41,6.11,43,5.5,0,22.578,3.422,5,4,9
412,21,13,58,0,1,176,192,365,397,82,30,23,86,482,9.4,8.06,6.72,51,4.875,1.095,16.651,3.254,4,5,9
617,45,35,109,4,6,227,269,551,598,150,27,35,106,750,9.6,9.27,6.86,87,4.35,0.959,38.367,5.674,5,5,10
394,25,25,81,3,3,151,159,319,363,85,26,28,79,479,10.5,9.62,6.71,50,4.444444444,0,20.823,4.177,4,4,8
452,26,22,63,0,0,194,195,379,426,103,39,22,83,538,9,7.89,6.44,52,8.7,1.72,22.169,2.109,5,4,9
409,20,16,73,1,1,167,184,338,380,105,29,11,67,516,11.1,9.23,7,57,7.25,0.707,15.258,4.035,4,4,8
576,36,34,75,0,3,243,245,519,567,112,20,42,106,643,9,6.72,6.23,60,6,0.47,30.758,4.772,5,5,10
574,34,35,83,3,4,199,247,501,554,123,43,39,96,660,10.3,8.34,7.17,83,6.357142857,0.247,25.909,7.844,4,6,10
503,30,28,85,3,0,222,213,433,478,108,26,31,82,627,10.1,7.24,6.58,63,4.5625,1.4,24.297,4.303,5,5,10
792,36,40,140,1,0,318,324,645,752,214,55,32,136,962,10.3,9.63,7.13,112,7.333333333,0.669,32.028,3.303,5,5,10
544,26,31,99,0,1,220,238,477,528,130,38,28,93,722,10.5,8.94,6.78,70,10.8,0.97,21.258,3.772,4,6,10
485,36,37,56,1,0,209,188,393,441,99,29,28,84,568,8.6,6.48,5.79,42,6.285714286,2.241,30.852,2.906,3,5,8
471,28,38,57,1,0,197,212,405,444,103,28,20,84,540,8.9,5.91,6.03,44,5.928571429,0,23.841,4.159,4,5,9
404,29,8,84,0,0,145,187,350,389,106,32,14,67,522,10.4,10.02,7.51,73,4.625,1.423,21.673,5.905,5,5,10
487,22,14,75,0,0,198,195,410,460,122,29,18,88,602,10.4,8.36,6.46,51,12,1.189,17.902,2.909,4,5,9
368,26,13,65,0,1,151,168,311,346,83,27,24,66,476,10.3,8.22,6.7,51,4.666666667,0,22.126,3.874,4,4,8
458,34,8,66,0,0,161,183,334,389,120,26,22,76,562,9.5,8.51,6.35,53,3.7,0,29.442,4.558,4,4,8
312,13,18,53,1,0,124,174,302,309,72,23,17,62,389,12.1,9.75,7.3,46,8.7,0.405,11.38,1.215,5,4,9
354,21,22,31,0,0,131,161,302,338,91,25,20,66,397,8.1,6.84,6.35,38,4.277777778,2.092,17.319,1.589,4,4,8
481,25,34,83,0,0,181,216,428,470,122,26,30,87,594,11.5,8.99,6.71,60,7,2.094,21.487,1.418,5,4,9
500,23,36,74,0,0,234,186,399,446,104,32,21,88,613,10.6,8.88,6.32,49,7.083333333,0.641,18.479,3.878,4,5,9
267,11,28,41,0,0,100,144,242,259,71,17,9,49,331,11.4,9.29,7.47,40,9,0,10.885,0.115,4,4,8
634,34,21,75,0,4,261,249,550,610,134,50,43,104,725,8.8,7.65,6.43,69,10.4,3.572,27.6,2.829,5,4,9
531,30,20,99,0,3,210,248,473,514,142,35,22,76,656,10.6,9.74,7.66,94,7.333333333,1.523,24.21,4.267,5,5,10
466,27,11,82,0,1,184,205,394,441,109,35,36,86,593,10.5,9.68,7.28,75,5.571428571,3.36,22.364,1.278,4,4,8
425,26,15,49,0,0,173,193,361,400,95,27,14,85,488,8.8,6.89,6.19,44,4.875,2.805,22.202,0.993,4,4,8
895,42,42,156,1,0,321,333,730,850,243,64,38,155,1109,11.1,10.44,6.78,109,6.666666667,0.822,35.784,5.394,5,5,10
304,24,18,50,0,4,84,152,276,299,78,27,12,50,356,9.2,9.6,7.41,50,3.9,1.115,18.123,4.762,4,4,8
465,31,32,61,1,1,187,213,409,443,131,27,16,68,546,9.3,7.41,6.32,52,4,0.423,27.441,3.136,4,4,8
421,28,47,59,0,1,144,209,385,413,119,27,15,66,493,9.7,8.28,7.15,64,4.555555556,0.477,23.808,3.715,5,4,9
361,21,16,62,0,0,122,164,292,324,94,22,28,76,425,10.5,10.49,6.47,41,6,1.392,17.713,1.896,4,5,9
583,29,26,106,0,1,212,251,499,561,156,39,20,84,746,12.1,10.44,7.61,99,8,0.324,25.705,2.971,6,5,11
732,33,45,97,1,0,342,264,602,695,134,44,64,145,859,10.3,8.76,6.02,58,6.833333333,1.153,29.929,1.918,5,4,9
232,11,28,33,0,0,101,117,198,219,57,11,8,37,278,11,7.37,6.31,23,6.666666667,0.108,9.794,1.098,3,3,6
