,char_count,word_count,sentence_count,avg_sentence_len,spelling_errors,long_word,exc_count,que_count,comma_count,stopwords_num,sat_num,unigram,bigrams,trigrams,noun_count,adj_count,adv_count,verb_count,fw_count,neg_sentiment,neu_sentiment,pos_sentiment,syllable_count,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog
0,1775.0,377.0,32.0,11.78125,19,48,2,1,13,144,4,166,306,346,70,27,21,75,75,5.139000000000001,24.583999999999993,2.2769999999999997,438,78.14,8.8,4.9,7.46,4.9,6.25,43,3.083333333333333,11.381614906832297
1,2228.0,414.0,25.0,16.56,14,102,0,0,15,164,8,188,366,400,111,19,17,78,78,2.6390000000000002,20.950000000000003,1.41,572,56.45,12.3,9.1,11.36,9.7,7.41,71,7.0,15.616476964769646
2,1283.0,271.0,5.0,54.2,10,27,1,0,1,150,1,122,215,243,51,18,17,50,50,0.634,4.08,0.28700000000000003,324,51.72,13.3,19.2,6.0,23.2,7.09,14,24.75,25.241212121212122
3,2714.0,530.0,33.0,16.060606060606062,22,111,2,0,25,159,9,210,432,496,165,39,31,87,87,0.6729999999999999,25.786,6.539999999999999,692,58.38,11.1,8.3,12.86,10.2,7.31,82,4.222222222222222,14.841498829039814
4,2004.0,409.0,9.0,45.44444444444444,17,45,0,0,13,201,1,152,330,382,94,23,26,74,74,0.29000000000000004,7.577,1.1329999999999998,507,54.43,13.7,16.1,8.72,19.9,7.1,33,24.0,22.23063829787234
5,2778.0,586.0,35.0,16.742857142857144,31,96,1,7,24,216,10,268,512,564,158,33,33,86,86,0.865,29.346999999999998,4.789,685,75.2,10.3,6.0,9.56,7.6,7.37,94,4.875,15.01704781704782
6,1308.0,277.0,12.0,23.083333333333332,12,31,0,0,2,120,0,139,251,269,50,22,13,62,62,0.279,9.39,2.3309999999999995,325,74.93,9.5,8.2,6.21,8.4,6.11,23,10.6,14.192123552123554
7,1503.0,305.0,15.0,20.333333333333332,14,55,0,1,10,132,2,143,256,285,71,19,15,55,55,0.0,12.878000000000002,2.122,386,69.62,11.1,8.1,8.41,8.7,6.21,29,5.928571428571429,13.587725631768954
8,2098.0,465.0,30.0,15.5,31,51,0,1,10,209,0,184,400,451,84,27,27,101,101,0.221,26.639000000000003,3.1399999999999997,524,82.34,8.2,5.3,5.68,4.8,5.79,38,5.25,11.38265060240964
9,1977.0,416.0,23.0,18.08695652173913,28,48,0,0,6,187,1,135,283,338,83,23,13,66,66,0.0,18.515,4.485000000000001,487,79.9,9.9,6.3,6.44,6.4,5.45,24,5.928571428571429,11.173506493506494
10,3009.0,608.0,31.0,19.612903225806452,10,106,0,0,23,228,10,235,477,549,167,30,37,94,94,0.347,27.316,3.3369999999999997,751,70.63,11.2,7.8,8.7,8.7,6.36,64,6.833333333333333,13.705882352941178
11,2433.0,533.0,30.0,17.766666666666666,26,66,0,2,28,223,6,211,455,509,117,21,23,107,107,1.1460000000000001,25.306999999999995,3.5460000000000003,602,81.73,9.6,5.6,7.82,6.9,6.38,57,4.9375,13.049285714285714
12,688.0,145.0,4.0,36.25,3,14,0,0,4,63,2,83,131,142,34,14,10,16,16,0.0,3.427,0.573,171,64.58,11.7,12.2,9.01,15.3,7.08,15,12.125,19.4444094488189
13,956.0,197.0,5.0,39.4,5,28,0,0,2,97,3,102,176,191,51,11,10,34,34,0.45,4.061,0.48899999999999993,252,51.25,14.3,15.2,7.79,16.7,7.35,22,11.5,21.44874316939891
14,1803.0,350.0,27.0,12.962962962962964,14,61,0,2,6,145,5,153,297,328,78,24,21,55,55,0.148,22.398,4.454,450,76.52,10.3,5.5,8.97,6.7,6.17,39,4.111111111111111,11.632380952380952
15,1231.0,257.0,12.0,21.416666666666668,24,35,0,0,5,125,2,106,198,225,50,16,10,55,55,0.0,10.725,1.2750000000000001,311,76.96,10.1,7.4,7.31,8.3,6.42,27,8.7,14.435744680851066
16,1280.0,272.0,6.0,45.333333333333336,17,34,0,0,2,118,0,111,205,225,75,15,6,61,61,0.109,5.433,0.458,309,63.4,10.1,14.7,7.79,18.9,6.96,20,16.666666666666668,21.745806451612903
17,2574.0,554.0,26.0,21.307692307692307,51,76,6,1,29,203,4,257,485,537,140,35,20,111,111,3.3339999999999996,20.947999999999997,1.718,641,69.92,9.5,8.0,8.47,8.6,7.14,78,7.083333333333334,15.876194503171247
18,2006.0,392.0,25.0,15.68,31,67,0,0,20,156,5,176,354,382,90,27,19,68,68,2.152,20.720000000000002,2.127,500,74.39,10.7,6.3,9.91,8.0,6.98,58,5.714285714285714,14.244637681159421
19,1541.0,295.0,15.0,19.666666666666668,23,64,0,0,12,114,10,155,281,290,70,20,13,53,53,1.0119999999999998,13.148,0.8400000000000001,395,62.38,12.1,8.9,11.13,10.5,7.42,48,7.166666666666666,16.333127413127414
20,1191.0,210.0,9.0,23.333333333333332,6,51,0,0,9,80,4,70,137,157,62,19,6,31,31,0.0,7.314,1.686,304,49.96,12.5,11.6,13.11,13.9,6.84,26,8.9,15.925026178010473
21,2439.0,499.0,24.0,20.791666666666668,22,97,0,0,21,205,8,191,420,475,113,39,26,91,91,0.801,20.559,2.6399999999999997,624,69.62,11.3,8.1,8.7,8.9,6.83,64,5.428571428571429,15.152808988764045
22,2229.0,449.0,26.0,17.26923076923077,22,61,0,2,5,191,16,183,383,426,104,26,28,75,75,0.0,22.578,3.4220000000000006,558,71.85,10.3,7.3,8.41,7.8,6.11,43,5.5,12.746044226044226
23,1951.0,412.0,21.0,19.61904761904762,13,58,0,1,19,176,6,192,365,397,82,30,23,86,86,1.095,16.651,3.254,482,79.5,9.4,6.4,8.06,8.0,6.72,51,4.875,14.506666666666668
24,2979.0,617.0,45.0,13.71111111111111,35,109,4,6,22,227,14,269,551,598,150,27,35,106,106,0.9590000000000001,38.367000000000004,5.6739999999999995,750,76.42,9.6,5.5,9.27,6.8,6.86,87,4.35,13.412307692307692
25,1898.0,394.0,25.0,15.76,25,81,3,3,19,151,7,159,319,363,85,26,28,79,79,0.0,20.823,4.177,479,74.39,10.5,6.3,9.62,7.8,6.71,50,4.444444444444445,13.562296072507554
26,2171.0,452.0,26.0,17.384615384615383,22,63,0,0,4,194,5,195,379,426,103,39,22,83,83,1.72,22.169,2.109,538,81.12,9.0,5.8,7.89,7.0,6.44,52,8.7,13.361290322580647
27,2043.0,409.0,20.0,20.45,16,73,1,1,19,167,12,184,338,380,105,29,11,67,67,0.707,15.258000000000003,4.035,516,69.72,11.1,8.1,9.23,9.3,7.0,57,7.25,15.572534059945504
28,2644.0,576.0,36.0,16.0,34,75,0,3,26,243,3,245,519,567,112,20,42,106,106,0.47000000000000003,30.757999999999992,4.7719999999999985,643,82.24,9.0,5.4,6.72,5.8,6.23,60,6.0,12.512475247524755
